"tstep.marked","age.marked","tstep.last","age.dead","Tit.sum","Sit.sum","Kit.sum","Lit.sum","Dit.sum","Wit.sum","Rit.sum","Vit.sum","Pit.sum","Xit.sum","Tit.last","fate","fate2","reporting"
3,1.25,7,1.58,4,4,0,0,0,0,1,1,1,0,0,41,"natmort","cap_rep"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,9,9,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,10,1.83,7,7,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.25,12,2,10,10,2,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.25,4,1.33,1,1,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,9,9,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,7,1.58,4,4,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.25,7,1.58,4,4,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.25,9,1.75,6,6,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,5,1.42,2,2,1,1,0,1,0,2,1,0,0,3,"harvest","cap_rep"
3,1.25,12,2,10,10,2,0,0,0,0,2,1,0,1,0,"surv.resighted","not_recap"
3,1.25,6,1.5,3,3,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.25,4,1.33,1,1,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.25,3,1.25,0,0,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.25,12,2,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,3,1.33,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,5,1.5,2,2,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.33,10,1.92,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,7,1.67,4,4,1,1,1,0,1,2,1,0,0,21,"dmort","cap_rep"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,3,1.33,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.33,10,1.92,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.33,3,1.33,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.33,12,2.08,10,10,2,0,0,0,0,2,1,0,1,1,"surv.resighted","cap_rep"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,3,1.33,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.33,7,1.67,4,4,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,7,1.67,4,4,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.33,3,1.33,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.33,12,2.08,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.33,5,1.5,2,2,0,1,0,1,1,1,1,0,0,31,"harvest","cap_rep"
3,1.33,12,2.08,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,7,1.75,4,4,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,7,1.75,4,4,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,5,1.58,2,2,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,9,1.92,6,6,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.42,12,2.17,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,10,2,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.42,12,2.17,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,11,2.08,8,8,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.42,12,2.17,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,12,2.17,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.42,8,1.83,5,5,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.42,3,1.42,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.42,12,2.17,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,3,1.5,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,3,1.5,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.5,11,2.17,8,8,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,7,1.83,4,4,1,1,1,0,0,2,1,0,0,2,"dmort","cap_rep"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,7,1.83,4,4,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,3,1.5,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.5,12,2.25,10,10,2,0,0,0,0,2,1,0,1,0,"surv.resighted","not_recap"
3,1.5,10,2.08,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.5,12,2.25,10,10,2,0,0,0,0,2,1,0,1,0,"surv.resighted","not_recap"
3,1.5,3,1.5,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,12,2.25,10,10,2,0,0,0,0,2,1,0,1,0,"surv.resighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,7,1.83,4,4,2,1,0,1,0,3,1,0,0,3,"harvest","cap_rep"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,12,2.25,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.5,12,2.25,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.5,6,1.75,3,3,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.58,12,2.33,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,7,1.92,4,4,1,1,1,0,1,2,1,0,0,21,"dmort","cap_rep"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,5,1.75,2,2,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,6,1.83,3,3,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.58,5,1.75,2,2,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.58,6,1.83,3,3,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.58,3,1.58,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.58,12,2.33,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,8,2.08,5,5,0,0,0,0,1,1,1,0,0,41,"natmort","cap_rep"
3,1.67,12,2.42,9,9,1,1,1,0,0,1,1,0,0,-2,"dmort","cap_notrep"
3,1.67,12,2.42,10,10,1,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.67,3,1.67,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,12,2.42,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,10,2.25,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.67,7,2,4,4,1,1,0,1,0,2,1,0,0,3,"harvest","cap_rep"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,12,2.42,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.67,3,1.67,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.67,10,2.25,7,7,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.67,12,2.42,10,10,1,0,0,0,0,0,1,0,1,0,"surv.resighted","not_recap"
3,1.67,3,1.67,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.67,4,1.75,1,1,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.75,3,1.75,0,0,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.75,11,2.42,8,8,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,4,1.83,1,1,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,5,1.92,2,2,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,10,2.33,7,7,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,5,1.92,2,2,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.75,6,2,3,3,0,1,0,1,1,1,1,0,0,31,"harvest","cap_rep"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.75,12,2.5,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,3,1.75,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.75,12,2.5,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.83,7,2.17,4,4,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.83,5,2,2,2,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.83,12,2.58,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.83,5,2,2,2,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.83,8,2.25,5,5,1,1,0,1,0,2,1,0,0,3,"harvest","cap_rep"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,3,1.83,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.83,7,2.17,4,4,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.83,7,2.17,4,4,1,1,0,1,0,2,1,0,0,3,"harvest","cap_rep"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,3,1.83,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.83,12,2.58,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,6,2.08,3,3,0,1,1,0,1,1,1,0,0,21,"dmort","cap_rep"
3,1.83,12,2.58,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.83,5,2,2,2,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.83,5,2,2,2,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.83,3,1.83,0,0,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.83,3,1.83,0,0,0,1,1,0,1,1,1,0,0,21,"dmort","cap_rep"
3,1.83,3,1.83,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.83,6,2.08,3,3,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.92,3,1.92,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.92,12,2.67,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.92,3,1.92,0,0,0,1,0,1,0,1,1,0,0,3,"harvest","cap_rep"
3,1.92,3,1.92,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.92,10,2.5,7,7,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.92,3,1.92,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.92,12,2.67,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.92,3,1.92,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.92,3,1.92,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.92,4,2,1,1,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.92,6,2.17,3,3,0,1,1,0,1,1,1,0,0,21,"dmort","cap_rep"
3,1.92,12,2.67,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.92,12,2.67,10,10,2,0,0,0,0,2,1,0,1,0,"surv.resighted","not_recap"
3,1.92,12,2.67,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.92,3,1.92,0,0,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
